169	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
92801	SENSORS_VALUES	78.431374	0	1	37.23	40.7	21.7	29.04	50.8	17.8	25.94	66.3	19.2	75.56	27.06
94805	SENSORS_VALUES	78.431374	0	1	37.26	40.6	21.7	29.07	50.8	17.9	25.92	66.3	19.2	75.63	27.13
96802	SENSORS_VALUES	78.431374	0	1	37.27	40.6	21.7	29.04	50.8	17.8	25.95	66.3	19.2	75.75	27.06
98801	SENSORS_VALUES	78.431374	0	1	37.30	40.6	21.7	29.07	50.8	17.9	25.95	66.3	19.2	75.81	27.13
100801	SENSORS_VALUES	78.431374	0	1	37.31	40.5	21.7	29.07	50.8	17.9	25.94	66.3	19.2	75.88	27.13
102800	SENSORS_VALUES	78.431374	0	1	37.37	40.5	21.7	29.07	50.9	17.9	25.94	66.3	19.2	76.00	27.06
104802	SENSORS_VALUES	78.431374	0	1	37.37	40.5	21.7	29.07	50.9	17.9	25.92	66.2	19.2	76.06	27.06
106802	SENSORS_VALUES	78.431374	0	1	37.41	40.4	21.7	29.08	50.9	17.9	25.94	66.3	19.2	76.13	27.06
108801	SENSORS_VALUES	78.431374	0	1	37.41	40.4	21.7	29.07	50.9	17.9	25.92	66.2	19.2	76.19	27.06
110801	SENSORS_VALUES	78.431374	0	1	37.44	40.4	21.7	29.08	50.9	17.9	25.94	66.2	19.2	76.25	27.06
112852	SENSORS_VALUES	78.431374	0	1	37.47	40.3	21.7	29.10	51.0	18.0	25.92	66.3	19.2	76.38	27.06
114801	SENSORS_VALUES	78.431374	0	1	37.49	40.3	21.8	29.11	51.0	18.0	25.95	66.3	19.2	76.44	27.13
116801	SENSORS_VALUES	78.431374	0	1	37.51	40.3	21.8	29.08	51.0	18.0	25.96	66.3	19.2	76.50	27.13
118801	SENSORS_VALUES	78.431374	0	1	37.54	40.3	21.8	29.10	51.1	18.0	25.96	66.3	19.2	76.56	27.13
120802	SENSORS_VALUES	78.431374	0	1	37.55	40.2	21.8	29.10	51.1	18.0	25.96	66.3	19.2	76.63	27.13
122804	SENSORS_VALUES	78.431374	0	1	37.58	40.3	21.8	29.11	51.1	18.0	25.95	66.3	19.2	76.69	27.13
124801	SENSORS_VALUES	78.431374	0	1	37.57	40.2	21.8	29.08	51.1	18.0	25.95	66.3	19.2	76.75	27.06
126801	SENSORS_VALUES	78.431374	0	1	37.61	40.2	21.8	29.11	51.1	18.0	25.96	66.3	19.2	76.81	27.13
128803	SENSORS_VALUES	78.431374	0	1	37.61	40.2	21.8	29.10	51.2	18.0	25.96	66.3	19.2	76.88	27.13
130801	SENSORS_VALUES	78.431374	0	1	37.64	40.2	21.8	29.13	51.2	18.1	25.96	66.3	19.2	76.94	27.13
132801	SENSORS_VALUES	78.431374	0	1	37.65	40.2	21.8	29.11	51.3	18.1	25.96	66.3	19.2	77.00	27.13
134801	SENSORS_VALUES	78.431374	0	1	37.68	40.2	21.9	29.11	51.3	18.1	25.98	66.3	19.3	77.06	27.13
136801	SENSORS_VALUES	78.431374	0	1	37.72	40.2	21.9	29.14	51.3	18.1	25.98	66.3	19.3	77.13	27.13
138801	SENSORS_VALUES	78.431374	0	1	37.72	40.2	21.9	29.14	51.3	18.1	25.96	66.3	19.2	77.19	27.13
140806	SENSORS_VALUES	78.431374	0	1	37.74	40.2	21.9	29.14	51.3	18.1	25.96	66.3	19.2	77.25	27.13
142801	SENSORS_VALUES	78.431374	0	1	37.78	40.1	21.9	29.11	51.4	18.1	25.96	66.3	19.2	77.31	27.13
144801	SENSORS_VALUES	78.431374	0	1	37.76	40.1	21.9	29.14	51.4	18.1	25.94	66.2	19.2	77.31	27.13
146802	SENSORS_VALUES	78.431374	0	1	37.79	40.1	22.0	29.13	51.4	18.1	25.94	66.2	19.2	77.38	27.13
148801	SENSORS_VALUES	78.431374	0	1	37.82	40.1	22.0	29.11	51.4	18.1	25.94	66.3	19.2	77.44	27.13
