122	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
470941	SENSORS_VALUES	78	0	0	51.53	24.3	25.3	30.39	41.0	15.7	25.54	54.0	15.6	94.88	26.06
480943	SENSORS_VALUES	78	0	0	51.49	24.3	25.3	30.40	41.0	15.7	25.54	54.0	15.6	95.19	26.06
490942	SENSORS_VALUES	0	0	0	51.44	24.4	25.3	30.40	41.0	15.7	25.51	54.0	15.6	94.38	26.06
500942	SENSORS_VALUES	78	0	0	51.43	24.4	25.3	30.41	41.0	15.7	25.48	54.1	15.6	93.94	26.06
510941	SENSORS_VALUES	78	0	0	51.40	24.4	25.3	30.40	41.0	15.7	25.51	54.1	15.6	94.25	26.06
520942	SENSORS_VALUES	78	0	0	51.39	24.4	25.3	30.39	41.0	15.7	25.48	54.0	15.5	94.63	26.06
530942	SENSORS_VALUES	78	0	0	51.33	24.4	25.3	30.40	41.0	15.7	25.50	54.0	15.5	94.94	26.13
540941	SENSORS_VALUES	78	0	0	51.35	24.4	25.3	30.41	41.0	15.7	25.57	53.9	15.6	95.19	26.06
550941	SENSORS_VALUES	0	0	0	51.33	24.4	25.3	30.43	41.0	15.7	25.57	53.9	15.6	94.44	26.06
560941	SENSORS_VALUES	78	0	0	51.31	24.5	25.3	30.43	41.0	15.7	25.58	53.7	15.6	94.00	26.06
570942	SENSORS_VALUES	78	0	0	51.29	24.5	25.3	30.43	41.0	15.7	25.58	53.7	15.5	94.31	26.06
580943	SENSORS_VALUES	78	0	0	51.29	24.5	25.3	30.43	41.0	15.7	25.57	53.7	15.5	94.63	26.06
590943	SENSORS_VALUES	78	0	0	51.26	24.5	25.3	30.46	40.9	15.7	25.60	53.7	15.6	94.94	26.06
600942	SENSORS_VALUES	78	0	0	51.28	24.5	25.3	30.44	40.9	15.7	25.60	53.7	15.6	95.25	26.13
610943	SENSORS_VALUES	0	0	0	51.25	24.5	25.3	30.44	40.9	15.7	25.58	53.7	15.5	94.44	26.06
620942	SENSORS_VALUES	78	0	0	51.26	24.5	25.3	30.46	40.9	15.7	25.58	53.7	15.5	94.00	26.06
630941	SENSORS_VALUES	78	0	0	51.25	24.6	25.3	30.46	40.9	15.7	25.55	53.7	15.5	94.31	26.06
640941	SENSORS_VALUES	78	0	0	51.22	24.6	25.3	30.44	40.9	15.7	25.54	53.7	15.5	94.69	26.06
650943	SENSORS_VALUES	78	0	0	51.21	24.6	25.3	30.44	40.9	15.7	25.54	53.7	15.5	95.00	26.13
660942	SENSORS_VALUES	78	0	0	51.22	24.6	25.3	30.47	40.9	15.7	25.57	53.6	15.5	95.25	26.06
670943	SENSORS_VALUES	0	0	0	51.18	24.6	25.3	30.46	40.9	15.7	25.61	53.6	15.5	94.50	26.06
680941	SENSORS_VALUES	78	0	0	51.22	24.6	25.3	30.47	40.9	15.7	25.64	53.5	15.5	94.00	26.06
690942	SENSORS_VALUES	78	0	0	51.21	24.6	25.3	30.48	40.8	15.7	25.64	53.5	15.5	94.38	26.06
700943	SENSORS_VALUES	78	0	0	51.19	24.6	25.3	30.48	40.8	15.7	25.65	53.5	15.5	94.69	26.06
710941	SENSORS_VALUES	78	0	0	51.19	24.6	25.3	30.47	40.9	15.7	25.67	53.5	15.6	95.00	26.06
720941	SENSORS_VALUES	78	0	0	51.18	24.6	25.3	30.47	40.9	15.7	25.67	53.4	15.5	95.25	26.06
730942	SENSORS_VALUES	0	0	0	51.16	24.6	25.3	30.48	40.9	15.7	25.68	53.4	15.5	94.50	26.06
740941	SENSORS_VALUES	78	0	0	51.16	24.6	25.3	30.48	40.9	15.7	25.67	53.3	15.5	94.06	26.06
750942	SENSORS_VALUES	78	0	0	51.18	24.7	25.3	30.48	40.9	15.7	25.68	53.3	15.5	94.38	26.13
760942	SENSORS_VALUES	78	0	0	51.16	24.6	25.3	30.48	40.9	15.7	25.71	53.2	15.5	94.75	26.06
770942	SENSORS_VALUES	78	0	0	51.15	24.7	25.3	30.50	40.9	15.7	25.68	53.4	15.5	95.00	26.06
780941	SENSORS_VALUES	78	0	0	51.18	24.7	25.4	30.50	40.8	15.7	25.64	53.6	15.6	95.31	26.06
790942	SENSORS_VALUES	0	0	0	51.15	24.7	25.3	30.51	40.8	15.7	25.62	53.7	15.6	94.50	26.06
800942	SENSORS_VALUES	78	0	0	51.16	24.7	25.3	30.48	40.9	15.7	25.64	53.7	15.6	94.06	26.06
810942	SENSORS_VALUES	78	0	0	51.15	24.7	25.3	30.51	40.9	15.8	25.60	53.8	15.6	94.38	26.06
820941	SENSORS_VALUES	78	0	0	51.16	24.7	25.3	30.50	40.9	15.7	25.60	53.9	15.6	94.75	26.13
830941	SENSORS_VALUES	78	0	0	51.15	24.7	25.3	30.51	40.8	15.7	25.64	53.8	15.6	95.06	26.06
840943	SENSORS_VALUES	0	0	0	51.13	24.7	25.3	30.51	40.8	15.7	25.64	53.7	15.6	94.25	26.06
850942	SENSORS_VALUES	78	0	0	51.12	24.7	25.3	30.50	40.8	15.7	25.65	53.7	15.6	93.88	26.06
860942	SENSORS_VALUES	78	0	0	51.15	24.6	25.3	30.50	40.8	15.7	25.67	53.6	15.6	94.19	26.06
870941	SENSORS_VALUES	78	0	0	51.12	24.6	25.2	30.50	40.8	15.7	25.65	53.6	15.6	94.56	26.06
880942	SENSORS_VALUES	78	0	0	51.15	24.7	25.3	30.51	40.9	15.8	25.60	53.6	15.5	94.88	26.06
890942	SENSORS_VALUES	78	0	0	51.12	24.7	25.3	30.51	40.8	15.7	25.64	53.6	15.6	95.13	26.06
900941	SENSORS_VALUES	0	0	0	51.11	24.7	25.3	30.51	40.8	15.7	25.61	53.7	15.6	94.38	26.06
910942	SENSORS_VALUES	78	0	0	51.12	24.7	25.3	30.51	40.8	15.7	25.58	53.7	15.5	93.94	26.06
920932	SM_STATE	'regenerate' -> 'cooldown' duration_fan_off_ms 610001ms > SM_REGENERATE_NOFAN_MS 600000ms
921002	SENSORS_VALUES	78	0	0	51.12	24.7	25.3	30.53	40.8	15.8	25.57	53.8	15.6	94.31	26.06
930941	SENSORS_VALUES	0	0	0	51.12	24.7	25.3	30.53	40.8	15.8	25.51	53.9	15.5	93.63	26.06
940941	SENSORS_VALUES	0	0	0	51.11	24.6	25.2	30.50	40.8	15.7	25.52	53.9	15.6	92.19	26.06
950941	SENSORS_VALUES	0	0	0	51.06	24.6	25.2	30.50	40.8	15.7	25.57	53.8	15.6	90.94	26.06
960942	SENSORS_VALUES	0	0	0	51.08	24.6	25.2	30.48	40.8	15.7	25.57	53.8	15.6	89.56	26.06
970943	SENSORS_VALUES	0	0	0	51.08	24.6	25.2	30.53	40.8	15.8	25.57	53.9	15.6	87.81	26.00
980941	SENSORS_VALUES	0	0	0	51.08	24.6	25.2	30.51	40.8	15.7	25.54	53.9	15.6	86.19	26.06
990942	SENSORS_VALUES	0	0	0	51.05	24.5	25.1	30.50	40.8	15.7	25.52	54.0	15.6	84.69	26.06
1000941	SENSORS_VALUES	0	0	0	51.01	24.5	25.0	30.50	40.8	15.7	25.52	54.1	15.6	83.31	26.06
1010941	SENSORS_VALUES	0	0	0	50.99	24.3	24.9	30.50	40.8	15.7	25.52	54.1	15.6	82.00	26.06
1020941	SENSORS_VALUES	0	0	0	50.95	24.2	24.8	30.47	40.8	15.7	25.51	54.3	15.7	80.88	26.06
1030941	SENSORS_VALUES	0	0	0	50.94	24.1	24.7	30.46	40.7	15.6	25.52	54.5	15.7	79.81	26.00
1040941	SENSORS_VALUES	0	0	0	50.89	24.0	24.6	30.47	40.7	15.7	25.52	54.3	15.6	78.81	26.06
1050942	SENSORS_VALUES	0	0	0	50.85	23.8	24.5	30.46	40.7	15.6	25.50	54.6	15.7	77.88	26.06
1060942	SENSORS_VALUES	0	0	0	50.81	23.6	24.3	30.47	40.7	15.7	25.50	54.6	15.7	77.00	26.06
1070943	SENSORS_VALUES	0	0	0	50.75	23.4	24.1	30.43	40.7	15.6	25.52	54.4	15.7	76.19	26.06
1080943	SENSORS_VALUES	0	0	0	50.66	23.3	23.9	30.41	40.7	15.6	25.55	54.4	15.7	75.25	26.06
1090941	SENSORS_VALUES	0	0	0	50.60	23.1	23.7	30.41	40.6	15.6	25.55	54.3	15.7	73.88	26.06
1100941	SENSORS_VALUES	0	0	0	50.51	22.9	23.5	30.39	40.6	15.6	25.60	54.2	15.7	72.56	26.06
1110943	SENSORS_VALUES	0	0	0	50.45	22.6	23.3	30.40	40.6	15.6	25.60	54.2	15.7	71.31	26.06
1120941	SENSORS_VALUES	0	0	0	50.34	22.5	23.1	30.37	40.7	15.5	25.61	54.2	15.7	70.19	26.06
1130943	SENSORS_VALUES	0	0	0	50.23	22.3	22.8	30.36	40.6	15.5	25.62	54.1	15.7	69.13	26.00
1140941	SENSORS_VALUES	0	0	0	50.16	22.0	22.6	30.34	40.5	15.5	25.62	54.1	15.7	68.13	26.00
1150943	SENSORS_VALUES	0	0	0	50.05	21.8	22.3	30.31	40.6	15.5	25.61	54.0	15.7	67.06	26.00
1160941	SENSORS_VALUES	0	0	0	49.93	21.5	22.0	30.27	40.6	15.4	25.55	54.1	15.6	66.00	26.06
1170943	SENSORS_VALUES	0	0	0	49.79	21.3	21.7	30.27	40.6	15.4	25.54	54.2	15.6	64.94	26.00
1180941	SENSORS_VALUES	0	0	0	49.65	21.1	21.5	30.26	40.5	15.4	25.54	54.2	15.7	63.94	26.00
1190941	SENSORS_VALUES	0	0	0	49.55	20.8	21.2	30.26	40.5	15.4	25.51	54.3	15.7	63.06	26.00
1200941	SENSORS_VALUES	0	0	0	49.38	20.7	20.9	30.22	40.5	15.3	25.51	54.2	15.6	62.19	26.00
1210941	SENSORS_VALUES	0	0	0	49.22	20.4	20.6	30.20	40.5	15.3	25.48	54.2	15.6	61.38	26.00
1220941	SENSORS_VALUES	0	0	0	49.09	20.2	20.3	30.20	40.4	15.3	25.47	54.4	15.6	60.63	26.00
1230943	SENSORS_VALUES	0	0	0	48.92	20.0	20.0	30.15	40.5	15.3	25.45	54.4	15.6	59.88	26.00
1240942	SENSORS_VALUES	0	0	0	48.77	19.7	19.7	30.13	40.4	15.2	25.45	54.4	15.6	59.13	26.00
1250941	SENSORS_VALUES	0	0	0	48.58	19.5	19.3	30.12	40.4	15.2	25.48	54.5	15.7	58.50	26.00
1260941	SENSORS_VALUES	0	0	0	48.41	19.3	19.1	30.07	40.5	15.2	25.47	54.3	15.6	57.81	26.00
1270941	SENSORS_VALUES	0	0	0	48.26	19.1	18.8	30.09	40.4	15.2	25.45	54.3	15.6	57.25	26.00
1280941	SENSORS_VALUES	0	0	0	48.10	19.0	18.5	30.03	40.3	15.1	25.44	54.4	15.6	56.63	26.00
1290941	SENSORS_VALUES	0	0	0	47.89	18.7	18.1	30.03	40.3	15.1	25.45	54.4	15.6	56.06	26.00
1300941	SENSORS_VALUES	0	0	0	47.72	18.5	17.8	30.00	40.4	15.1	25.48	54.4	15.6	55.50	26.00
1310941	SENSORS_VALUES	0	0	0	47.55	18.4	17.5	29.97	40.3	15.1	25.50	54.4	15.7	54.94	25.94
1320942	SENSORS_VALUES	0	0	0	47.35	18.2	17.3	29.90	40.3	15.0	25.48	54.4	15.6	54.44	26.00
1330943	SENSORS_VALUES	0	0	0	47.17	18.0	16.9	29.90	40.2	15.0	25.48	54.3	15.6	53.94	25.94
1340941	SENSORS_VALUES	0	0	0	46.97	17.9	16.7	29.87	40.3	15.0	25.51	54.4	15.7	53.44	25.94
1350941	SENSORS_VALUES	0	0	0	46.80	17.8	16.4	29.83	40.2	14.9	25.54	54.3	15.7	53.00	25.94
1360941	SENSORS_VALUES	0	0	0	46.58	17.6	16.1	29.82	40.2	14.9	25.57	54.3	15.7	52.50	26.00
1370941	SENSORS_VALUES	0	0	0	46.39	17.4	15.8	29.77	40.2	14.9	25.52	54.2	15.6	52.06	25.94
