74	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
79	SM_STATE	'none' -> 'regenerate' Statemachine initialization
878	SENSORS_VALUES	78	0	0	25.04	13.6	-4.7	25.24	46.2	12.9	24.90	62.9	17.4	37.19	24.81
10792	SENSORS_VALUES	78	0	0	25.11	13.7	-4.5	25.24	45.7	12.7	24.93	62.8	17.4	39.13	24.81
20792	SENSORS_VALUES	78	0	0	25.22	13.8	-4.3	25.28	48.4	13.7	24.91	62.7	17.4	43.06	24.81
30792	SENSORS_VALUES	78	0	0	25.27	13.9	-4.2	25.31	49.2	13.9	24.90	62.8	17.4	46.63	24.81
40793	SENSORS_VALUES	78	0	0	25.38	14.0	-4.0	25.33	48.2	13.6	24.90	62.7	17.3	49.81	24.81
50791	SENSORS_VALUES	78	0	0	25.44	14.1	-3.8	25.41	50.0	14.3	24.90	62.8	17.4	52.81	24.81
60792	SENSORS_VALUES	78	0	0	25.52	14.3	-3.6	25.45	51.9	14.9	24.90	62.8	17.4	55.63	24.81
70792	SENSORS_VALUES	78	0	0	25.65	14.4	-3.4	25.50	53.2	15.3	24.91	62.7	17.4	58.06	24.81
80791	SENSORS_VALUES	78	0	0	25.73	14.7	-3.1	25.54	54.7	15.8	24.93	62.7	17.4	60.38	24.81
90792	SENSORS_VALUES	78	0	0	25.86	14.8	-2.8	25.61	55.4	16.0	24.93	62.7	17.4	62.50	24.81
100791	SENSORS_VALUES	78	0	0	25.97	15.0	-2.6	25.64	55.0	16.0	24.93	62.7	17.4	64.44	24.81
110791	SENSORS_VALUES	78	0	0	26.10	15.3	-2.2	25.71	52.9	15.4	24.93	62.6	17.3	66.19	24.81
120792	SENSORS_VALUES	78	0	0	26.24	15.6	-1.9	25.77	50.6	14.8	24.91	62.6	17.3	67.88	24.81
130791	SENSORS_VALUES	78	0	0	26.39	15.9	-1.5	25.80	54.6	16.0	24.89	62.7	17.3	69.38	24.81
140791	SENSORS_VALUES	78	0	0	26.57	16.2	-1.1	25.84	55.8	16.4	24.89	62.8	17.4	70.75	24.81
150791	SENSORS_VALUES	78	0	0	26.74	16.6	-0.6	25.89	55.4	16.3	24.91	62.9	17.4	72.13	24.81
160791	SENSORS_VALUES	78	0	0	26.89	16.9	-0.2	25.96	56.0	16.5	24.90	62.8	17.4	73.31	24.81
170792	SENSORS_VALUES	78	0	0	27.10	17.3	0.3	25.99	55.2	16.4	24.93	62.8	17.4	74.44	24.81
180792	SENSORS_VALUES	78	0	0	27.32	17.6	0.7	26.06	55.7	16.5	24.93	62.8	17.4	75.50	24.81
190792	SENSORS_VALUES	78	0	0	27.54	18.1	1.3	26.12	55.3	16.5	24.93	62.8	17.4	76.50	24.81
