125	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
127	SM_STATE	'none' -> 'regenerate' Statemachine initialization
924	SENSORS_VALUES	78	0	0	30.93	20.4	5.6	27.45	46.5	15.0	25.92	62.4	18.2	80.31	25.81
10793	SENSORS_VALUES	78	0	0	31.24	20.6	6.1	27.54	46.4	15.0	25.91	62.4	18.2	79.63	25.81
20792	SENSORS_VALUES	78	0	0	31.49	20.8	6.4	27.58	46.3	15.1	25.95	62.4	18.3	80.75	25.81
30792	SENSORS_VALUES	78	0	0	31.79	21.1	6.8	27.65	46.2	15.1	25.95	62.4	18.3	81.88	25.94
40793	SENSORS_VALUES	78	0	0	32.07	21.3	7.3	27.72	46.1	15.1	25.96	62.4	18.3	82.88	25.88
50792	SENSORS_VALUES	78	0	0	32.37	21.5	7.6	27.78	46.1	15.2	26.01	62.2	18.2	83.88	25.94
60793	SENSORS_VALUES	78	0	0	32.67	21.7	8.0	27.85	46.0	15.2	26.02	62.2	18.3	84.75	25.94
70791	SENSORS_VALUES	78	0	0	32.94	22.0	8.4	27.91	45.9	15.2	26.04	62.0	18.2	85.44	25.94
80792	SENSORS_VALUES	78	0	0	33.18	22.1	8.7	28.00	45.8	15.3	26.02	62.0	18.2	86.19	26.00
90792	SENSORS_VALUES	78	0	0	33.46	22.3	9.0	28.06	45.8	15.3	26.06	61.9	18.2	86.81	26.00
100792	SENSORS_VALUES	78	0	0	33.76	22.5	9.5	28.12	45.6	15.3	26.06	61.9	18.2	87.38	26.06
110791	SENSORS_VALUES	78	0	0	34.03	22.7	9.8	28.18	45.6	15.4	26.08	61.9	18.2	87.88	26.06
120792	SENSORS_VALUES	78	0	0	34.25	22.9	10.1	28.24	45.5	15.4	26.12	61.9	18.3	88.38	26.06
130792	SENSORS_VALUES	78	0	0	34.55	23.2	10.5	28.29	45.5	15.4	26.11	61.9	18.3	88.88	26.06
140792	SENSORS_VALUES	78	0	0	34.79	23.4	10.9	28.36	45.5	15.5	26.15	61.9	18.3	89.31	26.13
150792	SENSORS_VALUES	78	0	0	35.04	23.6	11.2	28.43	45.4	15.5	26.14	61.8	18.3	89.69	26.13
160791	SENSORS_VALUES	78	0	0	35.36	23.8	11.6	28.43	45.4	15.5	26.16	61.7	18.3	90.06	26.13
170792	SENSORS_VALUES	78	0	0	35.60	24.0	11.9	28.54	45.3	15.6	26.16	61.7	18.3	90.44	26.13
180792	SENSORS_VALUES	78	0	0	35.88	24.2	12.3	28.59	45.3	15.6	26.18	61.7	18.3	90.81	26.19
190792	SENSORS_VALUES	78	0	0	36.13	24.4	12.6	28.64	45.2	15.7	26.21	61.7	18.3	91.13	26.19
200792	SENSORS_VALUES	78	0	0	36.42	24.5	13.0	28.70	45.2	15.7	26.22	61.8	18.3	91.44	26.19
210793	SENSORS_VALUES	78	0	0	36.65	24.8	13.3	28.75	45.2	15.7	26.24	61.8	18.4	91.75	26.25
220792	SENSORS_VALUES	78	0	0	36.89	25.0	13.6	28.78	45.2	15.8	26.25	61.8	18.4	92.06	26.25
230792	SENSORS_VALUES	78	0	0	37.16	25.2	14.0	28.86	45.2	15.8	26.26	61.6	18.4	92.38	26.25
240792	SENSORS_VALUES	78	0	0	37.41	25.3	14.3	28.90	45.1	15.9	26.28	61.6	18.4	92.63	26.25
250792	SENSORS_VALUES	78	0	0	37.67	25.5	14.6	28.95	45.1	15.9	26.31	61.6	18.4	92.88	26.25
260792	SENSORS_VALUES	78	0	0	37.92	25.7	14.9	29.01	45.1	15.9	26.29	61.5	18.3	93.13	26.31
270792	SENSORS_VALUES	78	0	0	38.16	25.9	15.3	29.08	45.1	16.0	26.34	61.4	18.4	93.44	26.38
280792	SENSORS_VALUES	78	0	0	38.43	26.1	15.6	29.11	45.0	16.0	26.31	61.4	18.3	93.69	26.38
290792	SENSORS_VALUES	78	0	0	38.66	26.3	15.9	29.15	45.1	16.1	26.34	61.3	18.3	93.94	26.38
300792	SENSORS_VALUES	78	0	0	38.91	26.4	16.2	29.22	45.1	16.1	26.31	61.3	18.3	94.13	26.38
310791	SENSORS_VALUES	78	0	0	39.16	26.6	16.5	29.24	45.0	16.1	26.36	61.2	18.3	94.38	26.38
320792	SENSORS_VALUES	78	0	0	39.42	26.8	16.9	29.29	45.0	16.2	26.36	61.2	18.3	94.63	26.44
330793	SENSORS_VALUES	78	0	0	39.63	26.9	17.1	29.36	45.1	16.3	26.35	61.1	18.3	94.81	26.44
340791	SENSORS_VALUES	78	0	0	39.87	27.1	17.4	29.41	45.0	16.3	26.40	61.1	18.3	95.06	26.44
350792	SENSORS_VALUES	78	0	0	40.08	27.3	17.7	29.46	45.0	16.3	26.39	61.1	18.3	95.25	26.44
360792	SENSORS_VALUES	78	0	0	40.34	27.4	18.0	29.49	45.0	16.4	26.40	61.0	18.3	95.44	26.50
370791	SENSORS_VALUES	78	0	0	40.58	27.6	18.3	29.55	45.0	16.4	26.43	61.0	18.3	95.63	26.50
380791	SENSORS_VALUES	78	0	0	40.72	28.8	19.1	29.59	45.0	16.4	26.46	61.1	18.4	95.75	26.50
390792	SENSORS_VALUES	78	0	0	40.86	28.8	19.3	29.66	45.1	16.5	26.48	60.9	18.4	95.88	26.56
400791	SENSORS_VALUES	78	0	0	41.03	29.1	19.5	29.71	45.1	16.6	26.49	60.9	18.4	96.00	26.56
410792	SENSORS_VALUES	78	0	0	41.20	29.4	19.9	29.72	45.0	16.6	26.49	60.9	18.4	96.13	26.63
420792	SENSORS_VALUES	78	0	0	41.37	29.6	20.1	29.79	45.1	16.6	26.55	60.8	18.4	96.25	26.63
430792	SENSORS_VALUES	78	0	0	41.60	29.9	20.5	29.77	45.0	16.6	26.53	60.8	18.4	96.38	26.63
440791	SENSORS_VALUES	78	0	0	41.76	30.1	20.7	29.87	45.1	16.7	26.53	60.8	18.4	96.50	26.63
450792	SENSORS_VALUES	78	0	0	41.94	30.2	20.9	29.87	45.0	16.7	26.56	60.8	18.4	96.63	26.69
460791	SENSORS_VALUES	78	0	0	42.17	30.5	21.3	29.93	45.0	16.8	26.55	60.8	18.4	96.75	26.63
470792	SENSORS_VALUES	78	0	0	42.35	30.6	21.5	29.99	45.1	16.8	26.56	60.7	18.4	96.94	26.69
480792	SENSORS_VALUES	78	0	0	42.52	30.8	21.7	30.02	45.1	16.9	26.62	60.7	18.4	97.06	26.69
490792	SENSORS_VALUES	78	0	0	42.71	31.0	22.0	30.06	45.1	16.9	26.58	60.5	18.4	97.19	26.75
500793	SENSORS_VALUES	78	0	0	42.92	31.1	22.2	30.07	45.1	16.9	26.62	60.6	18.4	97.31	26.75
510792	SENSORS_VALUES	78	0	0	43.13	31.2	22.5	30.13	45.1	17.0	26.63	60.6	18.4	97.44	26.75
520793	SENSORS_VALUES	78	0	0	43.29	31.3	22.7	30.17	45.2	17.0	26.64	60.7	18.5	97.56	26.75
530792	SENSORS_VALUES	78	0	0	43.47	31.5	22.9	30.22	45.1	17.1	26.66	60.6	18.4	97.69	26.75
540791	SENSORS_VALUES	78	0	0	43.65	31.6	23.1	30.24	45.2	17.1	26.69	60.6	18.5	97.81	26.75
550792	SENSORS_VALUES	78	0	0	43.84	31.7	23.3	30.27	45.2	17.1	26.67	60.5	18.4	98.00	26.81
560792	SENSORS_VALUES	78	0	0	44.03	31.8	23.6	30.31	45.3	17.2	26.69	60.6	18.5	98.06	26.88
570792	SENSORS_VALUES	78	0	0	44.22	31.9	23.8	30.34	45.2	17.2	26.69	60.5	18.5	98.19	26.81
580792	SENSORS_VALUES	78	0	0	44.39	32.0	24.0	30.41	45.3	17.3	26.75	60.4	18.5	98.31	26.88
590792	SENSORS_VALUES	78	0	0	44.57	32.1	24.2	30.41	45.3	17.3	26.72	60.4	18.5	98.50	26.81
600792	SENSORS_VALUES	78	0	0	44.72	32.2	24.3	30.48	45.3	17.4	26.75	60.3	18.5	98.63	26.88
610791	SENSORS_VALUES	78	0	0	44.91	32.3	24.6	30.51	45.4	17.4	26.76	60.1	18.4	98.69	26.88
620792	SENSORS_VALUES	78	0	0	45.07	32.4	24.8	30.51	45.3	17.4	26.76	60.2	18.4	98.81	26.88
630792	SENSORS_VALUES	78	0	0	45.24	32.5	25.0	30.57	45.4	17.5	26.79	60.1	18.4	98.94	26.88
640792	SENSORS_VALUES	78	0	0	45.41	32.5	25.1	30.57	45.4	17.5	26.79	60.0	18.4	99.06	26.88
650792	SENSORS_VALUES	78	0	0	45.56	32.7	25.3	30.63	45.5	17.5	26.77	59.9	18.4	99.19	26.88
660791	SENSORS_VALUES	78	0	0	45.76	32.7	25.5	30.67	45.5	17.6	26.80	59.9	18.4	99.25	26.94
670791	SENSORS_VALUES	78	0	0	45.90	32.8	25.7	30.70	45.5	17.6	26.80	59.8	18.4	99.38	26.94
680792	SENSORS_VALUES	78	0	0	46.08	32.8	25.9	30.73	45.6	17.7	26.83	59.9	18.4	99.44	26.94
690791	SENSORS_VALUES	78	0	0	46.19	32.9	26.0	30.77	45.6	17.7	26.86	59.9	18.4	99.56	27.00
700792	SENSORS_VALUES	78	0	0	46.37	33.0	26.2	30.78	45.6	17.7	26.85	59.8	18.4	99.44	26.94
710792	SENSORS_VALUES	78	0	0	46.53	33.1	26.4	30.82	45.6	17.8	26.86	59.7	18.4	99.31	26.94
720792	SENSORS_VALUES	78	0	0	46.68	33.1	26.5	30.81	45.6	17.8	26.87	59.6	18.4	99.38	27.00
730792	SENSORS_VALUES	78	0	0	46.80	33.2	26.6	30.85	45.7	17.8	26.87	59.6	18.4	99.38	27.00
740792	SENSORS_VALUES	78	0	0	46.95	33.2	26.8	30.90	45.8	17.9	26.90	59.7	18.4	99.25	27.06
750792	SENSORS_VALUES	78	0	0	47.09	33.4	27.0	30.91	45.8	17.9	26.91	59.6	18.4	99.38	27.00
760791	SENSORS_VALUES	78	0	0	47.22	33.4	27.1	30.94	45.8	17.9	26.90	59.6	18.4	99.56	27.06
770792	SENSORS_VALUES	78	0	0	47.36	33.4	27.2	30.97	45.9	18.0	26.91	59.6	18.4	99.75	27.06
780791	SENSORS_VALUES	78	0	0	47.48	33.5	27.4	30.98	45.9	18.0	26.96	59.6	18.5	100.00	27.06
790791	SENSORS_VALUES	78	0	0	47.62	33.5	27.5	31.05	45.9	18.1	26.94	59.5	18.4	100.19	27.06
800792	SENSORS_VALUES	78	0	0	47.73	33.5	27.6	31.02	46.0	18.1	26.97	59.7	18.5	100.38	27.06
810791	SENSORS_VALUES	78	0	0	47.89	33.5	27.7	31.08	46.0	18.1	26.97	59.8	18.5	100.56	27.06
820792	SENSORS_VALUES	78	0	0	47.97	33.6	27.9	31.14	46.0	18.2	26.99	59.8	18.5	100.69	27.13
830792	SENSORS_VALUES	78	0	0	48.14	33.6	28.0	31.14	46.1	18.2	27.01	59.8	18.6	100.81	27.06
840792	SENSORS_VALUES	78	0	0	48.23	33.7	28.1	31.15	46.1	18.2	27.01	59.7	18.5	100.88	27.13
850792	SENSORS_VALUES	78	0	0	48.35	33.7	28.2	31.18	46.1	18.3	27.00	59.7	18.5	101.00	27.13
860792	SENSORS_VALUES	78	0	0	48.47	33.8	28.4	31.20	46.2	18.3	26.99	59.6	18.5	101.13	27.19
870791	SENSORS_VALUES	78	0	0	48.60	33.8	28.5	31.21	46.2	18.3	27.03	59.4	18.5	101.19	27.13
880792	SENSORS_VALUES	78	0	1	48.81	34.2	28.9	31.24	46.3	18.4	27.04	59.3	18.5	101.25	27.13
890792	SENSORS_VALUES	78	0	1	49.05	34.1	29.1	31.28	46.6	18.5	27.04	59.2	18.4	101.25	27.19
900791	SENSORS_VALUES	78	0	1	49.31	33.8	29.1	31.29	46.8	18.6	27.03	59.0	18.4	101.13	27.19
910792	SENSORS_VALUES	78	0	1	49.52	33.4	29.1	31.29	47.0	18.7	27.07	59.0	18.4	101.06	27.19
920792	SENSORS_VALUES	78	0	1	49.77	33.0	29.1	31.31	47.1	18.7	27.09	59.0	18.4	100.94	27.19
930792	SENSORS_VALUES	78	0	1	50.02	32.7	29.1	31.35	47.3	18.8	27.07	58.9	18.4	100.81	27.25
940791	SENSORS_VALUES	78	0	1	50.26	32.4	29.2	31.33	47.3	18.8	27.06	58.8	18.4	100.69	27.25
950792	SENSORS_VALUES	78	0	1	50.48	31.9	29.2	31.35	47.5	18.9	27.11	58.9	18.4	100.63	27.25
960791	SENSORS_VALUES	78	0	1	50.66	31.7	29.2	31.38	47.7	19.0	27.09	58.9	18.4	100.50	27.25
970792	SENSORS_VALUES	78	0	1	50.86	31.4	29.2	31.38	47.9	19.0	27.11	58.9	18.4	100.44	27.25
980791	SENSORS_VALUES	78	0	1	51.02	31.1	29.1	31.38	48.0	19.1	27.10	58.8	18.4	100.44	27.25
990792	SENSORS_VALUES	78	0	1	51.21	30.8	29.1	31.41	48.0	19.1	27.10	59.0	18.4	100.38	27.25
1000792	SENSORS_VALUES	78	0	1	51.40	30.5	29.2	31.41	48.3	19.2	27.10	59.1	18.5	100.38	27.31
1010791	SENSORS_VALUES	78	0	1	51.54	30.4	29.2	31.42	48.3	19.2	27.13	59.0	18.5	100.31	27.25
1020792	SENSORS_VALUES	78	0	1	51.70	30.1	29.2	31.41	48.4	19.2	27.13	58.9	18.4	100.25	27.31
1030791	SENSORS_VALUES	78	0	1	51.84	29.9	29.2	31.43	48.4	19.3	27.11	58.8	18.4	100.25	27.25
1040791	SENSORS_VALUES	78	0	1	51.99	29.8	29.2	31.43	48.5	19.3	27.14	58.8	18.4	100.25	27.38
1050792	SENSORS_VALUES	78	0	1	52.11	29.6	29.2	31.45	48.6	19.3	27.14	58.8	18.4	100.25	27.31
1060792	SENSORS_VALUES	78	0	1	52.22	29.4	29.2	31.43	48.7	19.4	27.14	58.8	18.4	100.19	27.38
1070791	SENSORS_VALUES	78	0	1	52.35	29.2	29.2	31.46	48.6	19.4	27.15	58.8	18.4	100.19	27.31
