76	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
79	SM_STATE	'none' -> 'regenerate' Statemachine initialization
877	SENSORS_VALUES	78	0	0	55.39	20.1	25.3	32.33	38.4	16.4	27.06	57.3	17.9	101.56	27.63
10792	SENSORS_VALUES	78	0	0	55.40	20.1	25.3	32.31	38.4	16.4	27.04	57.4	17.9	101.44	27.63
20792	SENSORS_VALUES	78	0	0	55.40	20.2	25.4	32.31	38.4	16.4	27.00	57.3	17.9	101.25	27.63
30792	SENSORS_VALUES	78	0	0	55.40	20.1	25.3	32.30	38.4	16.4	27.01	57.3	17.9	101.19	27.63
40793	SENSORS_VALUES	78	0	0	55.40	20.1	25.3	32.30	38.5	16.4	27.04	57.4	18.0	101.25	27.56
50793	SENSORS_VALUES	78	0	0	55.39	20.1	25.3	32.30	38.4	16.4	27.04	57.3	17.9	101.31	27.56
60793	SENSORS_VALUES	78	0	0	55.39	20.1	25.3	32.28	38.5	16.4	27.04	57.3	17.9	101.38	27.56
70792	SENSORS_VALUES	78	0	0	55.41	20.1	25.3	32.30	38.5	16.4	27.04	57.4	18.0	101.44	27.56
80793	SENSORS_VALUES	78	0	0	55.40	20.1	25.3	32.28	38.5	16.4	27.04	57.4	18.0	101.44	27.56
90793	SENSORS_VALUES	78	0	0	55.40	20.1	25.3	32.28	38.5	16.4	27.04	57.5	18.0	101.50	27.56
100794	SENSORS_VALUES	78	0	0	55.43	20.2	25.4	32.28	38.5	16.4	27.03	57.5	18.0	101.50	27.56
110792	SENSORS_VALUES	78	0	0	55.41	20.2	25.4	32.27	38.5	16.4	26.99	57.5	17.9	101.44	27.56
120791	SENSORS_VALUES	78	0	0	55.41	20.1	25.4	32.28	38.5	16.4	26.96	57.6	17.9	101.38	27.56
130792	SENSORS_VALUES	78	0	0	55.40	20.2	25.4	32.26	38.5	16.4	26.96	57.6	17.9	101.38	27.56
140791	SENSORS_VALUES	78	0	0	55.41	20.2	25.4	32.26	38.5	16.4	26.93	57.6	17.9	101.31	27.50
150792	SENSORS_VALUES	78	0	0	55.41	20.2	25.4	32.24	38.6	16.4	26.93	57.7	17.9	101.00	27.56
160792	SENSORS_VALUES	78	0	0	55.41	20.2	25.4	32.26	38.6	16.4	26.94	57.7	17.9	100.88	27.56
170791	SENSORS_VALUES	78	0	0	55.40	20.2	25.4	32.24	38.5	16.4	26.97	57.6	17.9	100.88	27.50
