83	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
88	SM_STATE	'none' -> 'regenerate' Statemachine initialization
887	SENSORS_VALUES	78	0	0	42.39	39.2	25.6	29.83	19.2	3.9	26.12	54.0	16.1	68.56	26.31
10791	SENSORS_VALUES	78	0	0	42.50	38.8	25.6	29.87	19.3	4.0	26.11	54.0	16.1	69.50	26.31
20792	SENSORS_VALUES	78	0	0	42.62	38.4	25.5	29.86	19.3	4.0	26.12	54.0	16.1	72.13	26.38
30792	SENSORS_VALUES	78	0	0	42.67	38.0	25.4	29.89	19.4	4.1	26.12	53.9	16.1	74.69	26.38
40791	SENSORS_VALUES	78	0	0	42.71	37.7	25.2	29.89	19.5	4.1	26.14	53.9	16.1	76.94	26.38
50793	SENSORS_VALUES	78	0	0	42.77	37.3	25.1	29.90	19.6	4.2	26.15	54.0	16.2	78.94	26.44
60792	SENSORS_VALUES	78	0	0	42.84	37.1	25.1	29.92	19.6	4.3	26.15	53.9	16.1	80.69	26.38
70793	SENSORS_VALUES	78	0	0	42.87	36.9	25.0	29.95	19.7	4.3	26.14	53.9	16.1	82.25	26.44
80792	SENSORS_VALUES	78	0	0	42.92	36.7	25.0	29.92	19.8	4.4	26.15	53.8	16.1	83.25	26.44
90791	SENSORS_VALUES	78	0	0	42.94	36.7	25.0	29.97	19.9	4.5	26.16	53.9	16.1	83.75	26.44
100792	SENSORS_VALUES	78	0	0	43.01	36.6	25.0	29.97	19.9	4.6	26.15	53.9	16.1	84.38	26.38
110793	SENSORS_VALUES	78	0	0	43.04	36.6	25.1	29.97	20.0	4.6	26.18	53.7	16.1	85.25	26.44
120793	SENSORS_VALUES	78	0	0	43.08	36.7	25.1	30.02	20.1	4.7	26.18	53.7	16.1	86.13	26.44
130792	SENSORS_VALUES	78	0	0	43.14	36.8	25.2	29.99	20.2	4.8	26.19	53.7	16.1	86.81	26.44
140791	SENSORS_VALUES	78	0	0	43.22	36.9	25.4	30.00	20.3	4.8	26.24	53.6	16.1	87.31	26.44
150791	SENSORS_VALUES	78	0	0	43.25	37.0	25.4	30.03	20.4	5.0	26.25	53.6	16.1	87.81	26.44
160792	SENSORS_VALUES	78	0	0	43.34	37.2	25.6	30.02	20.5	5.0	26.25	53.6	16.1	88.25	26.44
170791	SENSORS_VALUES	78	0	0	43.40	37.3	25.7	30.06	20.6	5.1	26.26	53.5	16.1	88.63	26.44
180791	SENSORS_VALUES	78	0	0	43.45	37.5	25.8	30.07	20.7	5.2	26.28	53.6	16.1	89.00	26.50
190791	SENSORS_VALUES	78	0	0	43.57	37.7	26.0	30.05	20.8	5.2	26.26	53.6	16.1	89.38	26.44
200792	SENSORS_VALUES	78	0	0	43.62	37.9	26.1	30.06	20.9	5.3	26.25	53.6	16.1	89.75	26.50
