72	SENSORS_HEADER	heater_heater	silicagel_Fan	ambient_Fan	silicagel_C	silicagel_rH	silicagel_dew	board_C	board_rH	board_dew	ext_C	ext_rH	ext_dew	heater_C	aux_C
77	SM_STATE	'none' -> 'regenerate' Statemachine initialization
877	SENSORS_VALUES	78	0	0	26.60	25.3	5.2	26.05	57.2	17.0	24.69	59.0	16.2	58.50	24.63
10792	SENSORS_VALUES	78	0	0	26.78	25.8	5.6	26.01	56.4	16.7	24.67	59.4	16.3	58.75	24.63
20791	SENSORS_VALUES	78	0	0	26.89	26.3	6.0	25.99	56.1	16.6	24.70	59.5	16.3	60.81	24.69
30793	SENSORS_VALUES	78	0	0	27.05	26.9	6.4	25.96	56.0	16.6	24.69	59.6	16.3	62.75	24.69
40792	SENSORS_VALUES	78	0	0	27.21	27.3	6.8	25.96	56.2	16.6	24.66	59.6	16.3	64.50	24.63
50792	SENSORS_VALUES	78	0	0	27.42	27.9	7.3	25.95	57.0	16.8	24.67	59.6	16.3	66.19	24.63
60793	SENSORS_VALUES	78	0	0	27.57	28.4	7.7	25.96	57.9	17.1	24.66	59.6	16.3	67.69	24.63
70791	SENSORS_VALUES	78	0	0	27.77	28.9	8.1	25.95	58.6	17.3	24.67	59.7	16.3	69.31	24.63
80792	SENSORS_VALUES	78	0	0	27.97	29.5	8.5	25.99	59.4	17.5	24.69	59.7	16.4	70.94	24.69
90792	SENSORS_VALUES	78	0	0	28.15	30.1	9.0	26.02	60.2	17.7	24.67	59.7	16.4	72.38	24.63
100792	SENSORS_VALUES	78	0	0	28.35	30.6	9.4	26.05	60.9	18.0	24.63	59.7	16.3	73.69	24.63
110792	SENSORS_VALUES	78	0	0	28.58	31.2	9.9	26.08	61.5	18.1	24.63	59.7	16.3	74.81	24.63
120793	SENSORS_VALUES	78	0	0	28.80	31.8	10.4	26.13	62.0	18.3	24.65	59.7	16.3	75.75	24.63
130792	SENSORS_VALUES	78	0	0	29.02	32.5	10.9	26.16	62.5	18.5	24.65	59.7	16.3	76.69	24.63
140791	SENSORS_VALUES	78	0	0	29.27	33.2	11.4	26.19	63.0	18.6	24.66	59.7	16.4	77.94	24.63
150792	SENSORS_VALUES	78	0	0	29.50	33.8	11.9	26.25	63.4	18.8	24.67	59.7	16.4	79.00	24.63
160791	SENSORS_VALUES	78	0	0	29.75	34.5	12.5	26.29	63.8	18.9	24.65	59.7	16.3	79.94	24.56
170792	SENSORS_VALUES	78	0	0	29.99	35.2	13.0	26.32	64.2	19.0	24.67	59.7	16.4	80.75	24.63
180792	SENSORS_VALUES	78	0	0	30.27	35.9	13.5	26.36	64.5	19.2	24.65	59.7	16.3	81.19	24.63
190792	SENSORS_VALUES	78	0	0	30.52	36.6	14.0	26.40	64.9	19.3	24.65	59.7	16.3	81.63	24.63
200793	SENSORS_VALUES	78	0	0	30.78	37.4	14.6	26.44	65.1	19.4	24.65	59.7	16.3	81.88	24.56
210791	SENSORS_VALUES	78	0	0	31.05	38.1	15.1	26.50	65.5	19.6	24.63	59.7	16.3	82.13	24.63
220792	SENSORS_VALUES	78	0	0	31.33	38.8	15.7	26.52	65.8	19.6	24.65	59.7	16.3	82.50	24.63
230792	SENSORS_VALUES	78	0	0	31.59	39.4	16.1	26.57	66.0	19.7	24.66	59.7	16.3	82.81	24.63
240792	SENSORS_VALUES	78	0	0	31.86	40.0	16.6	26.60	66.3	19.9	24.65	59.8	16.3	83.00	24.63
250792	SENSORS_VALUES	78	0	0	32.13	40.7	17.1	26.64	66.6	20.0	24.65	59.8	16.3	83.06	24.63
260792	SENSORS_VALUES	78	0	0	32.42	41.3	17.6	26.70	66.9	20.1	24.63	59.9	16.4	83.06	24.63
270792	SENSORS_VALUES	78	0	0	32.68	41.9	18.1	26.73	67.1	20.2	24.65	59.9	16.4	83.38	24.63
280792	SENSORS_VALUES	78	0	0	32.98	42.4	18.5	26.77	67.3	20.3	24.67	59.9	16.4	83.69	24.63
290792	SENSORS_VALUES	78	0	0	33.22	43.0	19.0	26.82	67.6	20.4	24.63	60.0	16.4	84.06	24.69
300791	SENSORS_VALUES	78	0	0	33.50	43.5	19.4	26.86	67.8	20.5	24.65	59.8	16.4	84.44	24.63
310793	SENSORS_VALUES	78	0	0	33.80	43.9	19.8	26.91	68.0	20.6	24.66	59.9	16.4	84.69	24.69
320791	SENSORS_VALUES	78	0	0	34.04	44.4	20.2	26.93	68.2	20.6	24.65	60.0	16.4	84.63	24.63
330792	SENSORS_VALUES	78	0	0	34.29	44.7	20.6	26.94	68.4	20.7	24.63	60.1	16.4	84.69	24.63
340793	SENSORS_VALUES	78	0	0	34.58	45.2	21.0	27.03	68.6	20.8	24.65	60.1	16.4	84.75	24.69
350791	SENSORS_VALUES	78	0	0	34.83	45.6	21.4	27.06	68.9	20.9	24.65	60.1	16.4	84.81	24.63
360791	SENSORS_VALUES	78	0	0	35.09	46.0	21.7	27.10	69.1	21.0	24.66	60.0	16.4	85.00	24.69
370792	SENSORS_VALUES	78	0	0	35.34	46.3	22.1	27.13	69.2	21.0	24.63	59.9	16.4	85.25	24.63
380791	SENSORS_VALUES	78	0	0	35.60	46.6	22.5	27.15	69.4	21.1	24.66	59.9	16.4	85.56	24.63
390792	SENSORS_VALUES	78	0	0	35.84	47.0	22.8	27.23	69.6	21.2	24.65	59.9	16.4	85.88	24.63
400791	SENSORS_VALUES	78	0	0	36.11	47.3	23.2	27.25	69.8	21.3	24.65	59.9	16.4	86.19	24.63
410791	SENSORS_VALUES	78	0	0	36.33	47.7	23.5	27.28	70.0	21.4	24.63	59.9	16.4	86.44	24.69
420791	SENSORS_VALUES	78	0	0	36.60	48.0	23.8	27.33	70.1	21.4	24.67	59.9	16.4	86.75	24.69
430792	SENSORS_VALUES	78	0	0	36.81	48.3	24.1	27.37	70.3	21.5	24.67	59.9	16.4	87.00	24.69
440791	SENSORS_VALUES	78	0	0	37.05	48.6	24.5	27.38	70.5	21.6	24.66	59.9	16.4	87.31	24.69
450792	SENSORS_VALUES	78	0	0	37.28	48.9	24.8	27.44	70.7	21.7	24.67	59.9	16.4	87.69	24.69
460791	SENSORS_VALUES	78	0	0	37.52	49.2	25.1	27.45	70.8	21.7	24.66	59.9	16.4	87.88	24.69
470792	SENSORS_VALUES	78	0	0	37.73	49.5	25.4	27.51	71.0	21.8	24.66	59.9	16.4	88.06	24.69
480792	SENSORS_VALUES	78	0	0	37.98	49.8	25.7	27.55	71.2	21.9	24.67	59.8	16.4	88.25	24.69
490792	SENSORS_VALUES	78	0	0	38.17	50.0	26.0	27.58	71.3	22.0	24.67	59.8	16.4	88.44	24.75
500792	SENSORS_VALUES	78	0	0	38.41	50.3	26.3	27.62	71.5	22.0	24.67	59.8	16.4	88.63	24.75
510793	SENSORS_VALUES	78	0	0	38.58	50.5	26.5	27.62	71.7	22.1	24.70	59.9	16.4	88.81	24.75
520792	SENSORS_VALUES	78	0	1	38.93	50.8	26.9	27.68	70.7	21.9	24.66	59.8	16.4	89.00	24.75
530791	SENSORS_VALUES	78	0	1	39.25	51.9	27.6	27.72	69.5	21.7	24.69	59.9	16.4	89.06	24.75
540792	SENSORS_VALUES	78	0	1	39.62	52.1	28.0	27.79	69.0	21.6	24.70	59.9	16.4	89.13	24.75
550792	SENSORS_VALUES	78	0	1	39.97	51.9	28.2	27.79	68.8	21.6	24.67	59.9	16.4	89.13	24.75
560792	SENSORS_VALUES	78	0	1	40.28	51.5	28.4	27.85	68.8	21.6	24.70	59.9	16.4	89.13	24.75
570792	SENSORS_VALUES	78	0	1	40.61	51.1	28.5	27.89	68.9	21.7	24.67	60.0	16.4	89.06	24.75
580793	SENSORS_VALUES	78	0	1	40.93	50.6	28.7	27.91	68.9	21.7	24.69	59.9	16.4	89.06	24.75
590792	SENSORS_VALUES	78	0	1	41.23	50.0	28.8	27.92	69.0	21.7	24.70	59.9	16.4	89.06	24.81
600793	SENSORS_VALUES	78	0	1	41.49	49.5	28.8	27.96	69.1	21.8	24.72	60.0	16.5	89.13	24.81
610792	SENSORS_VALUES	78	0	1	41.76	49.0	28.9	27.96	69.2	21.8	24.72	60.1	16.5	89.13	24.81
620793	SENSORS_VALUES	78	0	1	42.04	48.5	29.0	28.00	69.3	21.9	24.72	60.0	16.5	89.13	24.81
630793	SENSORS_VALUES	78	0	1	42.25	48.1	29.0	28.00	69.4	21.9	24.72	60.0	16.5	89.13	24.81
640792	SENSORS_VALUES	78	0	1	42.43	47.6	29.0	28.02	69.5	22.0	24.70	60.0	16.5	89.13	24.81
650791	SENSORS_VALUES	78	0	1	42.66	47.3	29.1	28.05	69.5	22.0	24.72	60.0	16.5	89.13	24.81
660792	SENSORS_VALUES	78	0	1	42.86	46.8	29.1	28.06	69.6	22.0	24.73	60.0	16.5	89.19	24.81
670792	SENSORS_VALUES	78	0	1	43.07	46.5	29.1	28.05	69.6	22.0	24.73	60.0	16.5	89.19	24.81
680792	SENSORS_VALUES	78	0	1	43.27	46.1	29.2	28.06	69.6	22.0	24.76	60.1	16.5	89.25	24.81
690792	SENSORS_VALUES	78	0	1	43.43	45.8	29.2	28.08	69.7	22.1	24.75	60.0	16.5	89.25	24.81
700793	SENSORS_VALUES	78	0	1	43.61	45.4	29.2	28.10	69.7	22.1	24.75	60.0	16.5	89.31	24.81
710791	SENSORS_VALUES	78	0	1	43.76	45.1	29.3	28.10	69.8	22.1	24.77	60.0	16.5	89.31	24.81
720792	SENSORS_VALUES	78	0	1	43.92	44.8	29.3	28.10	69.8	22.1	24.77	60.0	16.5	89.38	24.81
730793	SENSORS_VALUES	78	0	1	44.06	44.5	29.3	28.12	69.9	22.1	24.77	59.9	16.5	89.38	24.81
740791	SENSORS_VALUES	78	0	1	44.19	44.3	29.3	28.12	69.9	22.2	24.79	60.0	16.5	89.44	24.81
750792	SENSORS_VALUES	78	0	1	44.32	44.0	29.3	28.15	70.0	22.2	24.82	60.0	16.6	89.50	24.81
760792	SENSORS_VALUES	78	0	1	44.47	43.7	29.4	28.13	70.1	22.2	24.79	60.0	16.5	89.56	24.81
770792	SENSORS_VALUES	78	0	1	44.59	43.5	29.4	28.16	70.1	22.2	24.80	59.9	16.5	89.56	24.81
780792	SENSORS_VALUES	78	0	1	44.70	43.2	29.3	28.15	70.1	22.2	24.79	59.9	16.5	89.63	24.88
790792	SENSORS_VALUES	78	0	1	44.81	43.0	29.4	28.15	70.2	22.2	24.82	59.9	16.5	89.69	24.81
800791	SENSORS_VALUES	78	0	1	44.94	42.8	29.4	28.18	70.2	22.3	24.82	59.8	16.5	89.69	24.88
810792	SENSORS_VALUES	78	0	1	45.04	42.6	29.4	28.18	70.3	22.3	24.83	59.9	16.5	89.75	24.88
820792	SENSORS_VALUES	78	0	1	45.14	42.4	29.4	28.20	70.4	22.3	24.82	59.9	16.5	89.81	24.88
830791	SENSORS_VALUES	78	0	1	45.22	42.2	29.4	28.19	70.3	22.3	24.80	59.8	16.5	89.88	24.88
840792	SENSORS_VALUES	78	0	1	45.34	42.0	29.4	28.20	70.4	22.3	24.83	59.8	16.5	89.88	24.88
850791	SENSORS_VALUES	78	0	1	45.42	41.9	29.4	28.22	70.4	22.4	24.82	59.8	16.5	89.94	24.88
860792	SENSORS_VALUES	78	0	1	45.55	41.7	29.5	28.23	70.5	22.4	24.85	59.8	16.5	90.06	24.94
870792	SENSORS_VALUES	78	0	1	45.62	41.5	29.5	28.26	70.5	22.4	24.85	59.9	16.6	90.13	24.88
880791	SENSORS_VALUES	78	0	1	45.75	41.3	29.5	28.23	70.5	22.4	24.83	59.9	16.5	90.06	24.88
890792	SENSORS_VALUES	78	0	1	45.83	41.2	29.5	28.23	70.5	22.4	24.85	59.8	16.6	90.00	24.94
900791	SENSORS_VALUES	78	0	1	45.90	41.0	29.5	28.29	70.5	22.5	24.86	59.8	16.6	89.88	24.94
910791	SENSORS_VALUES	78	0	1	45.99	40.8	29.5	28.27	70.6	22.5	24.85	59.8	16.5	89.81	24.88
920791	SENSORS_VALUES	78	0	1	46.08	40.6	29.5	28.29	70.6	22.5	24.87	59.7	16.5	89.75	24.88
930791	SENSORS_VALUES	78	0	1	46.15	40.4	29.5	28.30	70.6	22.5	24.87	59.8	16.6	89.63	24.94
940793	SENSORS_VALUES	78	0	1	46.22	40.2	29.5	28.27	70.6	22.5	24.86	59.7	16.5	89.63	24.88
950801	SENSORS_VALUES	78	0	1	46.30	40.1	29.5	28.29	70.6	22.5	24.89	59.7	16.6	89.56	24.88
960792	SENSORS_VALUES	78	0	1	46.34	39.8	29.4	28.33	70.5	22.5	24.89	59.7	16.6	89.56	24.88
970791	SENSORS_VALUES	78	0	1	46.41	39.7	29.4	28.36	70.4	22.5	24.87	59.6	16.5	89.50	24.94
980792	SENSORS_VALUES	78	0	1	46.50	39.5	29.4	28.33	70.3	22.5	24.90	59.5	16.5	89.50	24.94
990792	SENSORS_VALUES	78	0	1	46.57	39.3	29.3	28.36	70.2	22.5	24.89	59.6	16.5	89.50	25.00
1000792	SENSORS_VALUES	78	0	1	46.61	39.1	29.3	28.36	70.2	22.5	24.89	59.6	16.5	89.50	24.94
1010791	SENSORS_VALUES	78	0	1	46.67	39.0	29.3	28.38	70.2	22.5	24.91	59.6	16.5	89.50	25.00
1020793	SENSORS_VALUES	78	0	1	46.74	38.9	29.3	28.39	70.2	22.5	24.90	59.6	16.5	89.50	24.94
1030791	SENSORS_VALUES	78	0	1	46.78	38.7	29.3	28.42	70.1	22.5	24.90	59.5	16.5	89.50	25.00
1040791	SENSORS_VALUES	78	0	1	46.84	38.6	29.3	28.40	70.2	22.5	24.91	59.5	16.5	89.50	25.00
1050792	SENSORS_VALUES	78	0	1	46.88	38.4	29.2	28.44	70.2	22.5	24.90	59.5	16.5	89.50	25.00
1060791	SENSORS_VALUES	78	0	1	46.94	38.3	29.3	28.44	70.3	22.6	24.90	59.5	16.5	89.50	25.00
1070791	SENSORS_VALUES	78	0	1	47.01	38.2	29.2	28.46	70.3	22.6	24.91	59.5	16.5	89.56	25.00
1080792	SENSORS_VALUES	78	0	1	47.04	38.0	29.2	28.46	70.3	22.6	24.96	59.5	16.6	89.56	25.06
1090793	SENSORS_VALUES	78	0	1	47.09	38.0	29.2	28.49	70.3	22.6	24.93	59.4	16.5	89.56	25.00
1100791	SENSORS_VALUES	78	0	1	47.14	37.8	29.2	28.50	70.2	22.6	24.94	59.4	16.5	89.63	25.00
1110792	SENSORS_VALUES	78	0	1	47.19	37.7	29.2	28.46	70.2	22.5	24.93	59.4	16.5	89.63	25.06
1120791	SENSORS_VALUES	78	0	1	47.25	37.7	29.2	28.50	70.1	22.6	24.97	59.3	16.5	89.63	25.00
1130792	SENSORS_VALUES	78	0	1	47.29	37.6	29.2	28.51	70.0	22.6	24.97	59.3	16.5	89.69	25.06
1140791	SENSORS_VALUES	78	0	1	47.34	37.5	29.2	28.51	70.0	22.6	24.97	59.3	16.5	89.69	25.06
1150792	SENSORS_VALUES	78	0	1	47.38	37.4	29.2	28.51	69.9	22.5	24.96	59.4	16.5	89.69	25.06
1160791	SENSORS_VALUES	78	0	1	47.42	37.3	29.2	28.51	69.9	22.5	24.97	59.3	16.5	89.75	25.13
1170792	SENSORS_VALUES	78	0	1	47.48	37.2	29.2	28.54	69.8	22.5	24.99	59.3	16.6	89.75	25.06
1180791	SENSORS_VALUES	78	0	1	47.49	37.1	29.2	28.54	69.8	22.5	24.99	59.3	16.5	89.81	25.06
1190792	SENSORS_VALUES	78	0	1	47.53	37.0	29.2	28.57	69.8	22.6	24.99	59.3	16.6	89.81	25.13
1200792	SENSORS_VALUES	78	0	1	47.59	36.9	29.2	28.59	69.7	22.6	24.99	59.3	16.5	89.81	25.06
1210792	SENSORS_VALUES	78	0	1	47.62	36.9	29.2	28.59	69.7	22.5	25.02	59.3	16.6	89.88	25.06
1220792	SENSORS_VALUES	78	0	1	47.66	36.8	29.2	28.63	69.8	22.6	25.00	59.3	16.6	89.88	25.06
1230792	SENSORS_VALUES	78	0	1	47.68	36.7	29.2	28.63	69.7	22.6	25.02	59.4	16.6	89.88	25.13
1240792	SENSORS_VALUES	78	0	1	47.73	36.7	29.2	28.63	69.9	22.6	25.03	59.2	16.6	89.94	25.13
